time0,Sunrise,Sunset
04/01/2018,06:58:00,20:00:00
04/02/2018,06:56:00,20:01:00
04/03/2018,06:54:00,20:03:00
04/04/2018,06:51:00,20:05:00
04/05/2018,06:49:00,20:07:00
04/06/2018,06:46:00,20:09:00
04/07/2018,06:44:00,20:10:00
04/08/2018,06:42:00,20:12:00
04/09/2018,06:39:00,20:14:00
04/10/2018,06:37:00,20:16:00
04/11/2018,06:35:00,20:18:00
04/12/2018,06:32:00,20:19:00
04/13/2018,06:30:00,20:21:00
04/14/2018,06:28:00,20:23:00
04/15/2018,06:25:00,20:25:00
04/16/2018,06:23:00,20:27:00
04/17/2018,06:21:00,20:29:00
04/18/2018,06:19:00,20:30:00
04/19/2018,06:16:00,20:32:00
04/20/2018,06:14:00,20:34:00
04/21/2018,06:12:00,20:36:00
04/22/2018,06:10:00,20:38:00
04/23/2018,06:08:00,20:39:00
04/24/2018,06:05:00,20:41:00
04/25/2018,06:03:00,20:43:00
04/26/2018,06:01:00,20:45:00
04/27/2018,05:59:00,20:47:00
04/28/2018,05:57:00,20:48:00
04/29/2018,05:55:00,20:50:00
04/30/2018,05:53:00,20:52:00
05/01/2018,05:51:00,20:54:00
05/02/2018,05:49:00,20:56:00
05/03/2018,05:47:00,20:57:00
05/04/2018,05:45:00,20:59:00
05/05/2018,05:43:00,21:01:00
05/06/2018,05:41:00,21:03:00
05/07/2018,05:39:00,21:04:00
05/08/2018,05:37:00,21:06:00
05/09/2018,05:35:00,21:08:00
05/10/2018,05:34:00,21:09:00
05/11/2018,05:32:00,21:11:00
05/12/2018,05:30:00,21:13:00
05/13/2018,05:28:00,21:15:00
05/14/2018,05:27:00,21:16:00
05/15/2018,05:25:00,21:18:00
05/16/2018,05:23:00,21:19:00
05/17/2018,05:22:00,21:21:00
05/18/2018,05:20:00,21:23:00
05/19/2018,05:19:00,21:24:00
05/20/2018,05:17:00,21:26:00
05/21/2018,05:16:00,21:27:00
05/22/2018,05:15:00,21:29:00
05/23/2018,05:13:00,21:30:00
05/24/2018,05:12:00,21:32:00
05/25/2018,05:11:00,21:33:00
05/26/2018,05:10:00,21:35:00
05/27/2018,05:08:00,21:36:00
05/28/2018,05:07:00,21:37:00
05/29/2018,05:06:00,21:38:00
05/30/2018,05:05:00,21:40:00
05/31/2018,05:04:00,21:41:00
06/01/2018,05:03:00,21:42:00
06/02/2018,05:02:00,21:43:00
06/03/2018,05:02:00,21:44:00
06/04/2018,05:01:00,21:45:00
06/05/2018,05:00:00,21:47:00
06/06/2018,05:00:00,21:48:00
06/07/2018,04:59:00,21:48:00
06/08/2018,04:58:00,21:49:00
06/09/2018,04:58:00,21:50:00
06/10/2018,04:57:00,21:51:00
06/11/2018,04:57:00,21:52:00
06/12/2018,04:57:00,21:52:00
06/13/2018,04:56:00,21:53:00
06/14/2018,04:56:00,21:54:00
06/15/2018,04:56:00,21:54:00
06/16/2018,04:56:00,21:55:00
06/17/2018,04:56:00,21:55:00
06/18/2018,04:56:00,21:56:00
06/19/2018,04:56:00,21:56:00
06/20/2018,04:56:00,21:56:00
06/21/2018,04:56:00,21:56:00
06/22/2018,04:57:00,21:57:00
06/23/2018,04:57:00,21:57:00
06/24/2018,04:57:00,21:57:00
06/25/2018,04:58:00,21:57:00
06/26/2018,04:58:00,21:57:00
06/27/2018,04:58:00,21:57:00
06/28/2018,04:59:00,21:56:00
06/29/2018,05:00:00,21:56:00
06/30/2018,05:00:00,21:56:00
07/01/2018,05:01:00,21:55:00
07/02/2018,05:02:00,21:55:00
07/03/2018,05:03:00,21:55:00
07/04/2018,05:03:00,21:54:00
07/05/2018,05:04:00,21:54:00
07/06/2018,05:05:00,21:53:00
07/07/2018,05:06:00,21:52:00
07/08/2018,05:07:00,21:51:00
07/09/2018,05:08:00,21:51:00
07/10/2018,05:09:00,21:50:00
07/11/2018,05:10:00,21:49:00
07/12/2018,05:12:00,21:48:00
07/13/2018,05:13:00,21:47:00
07/14/2018,05:14:00,21:46:00
07/15/2018,05:15:00,21:45:00
07/16/2018,05:17:00,21:44:00
07/17/2018,05:18:00,21:43:00
07/18/2018,05:19:00,21:41:00
07/19/2018,05:21:00,21:40:00
07/20/2018,05:22:00,21:39:00
07/21/2018,05:24:00,21:37:00
07/22/2018,05:25:00,21:36:00
07/23/2018,05:27:00,21:35:00
07/24/2018,05:28:00,21:33:00
07/25/2018,05:30:00,21:32:00
07/26/2018,05:31:00,21:30:00
07/27/2018,05:33:00,21:28:00
07/28/2018,05:34:00,21:27:00
07/29/2018,05:36:00,21:25:00
07/30/2018,05:37:00,21:24:00
07/31/2018,05:39:00,21:22:00
08/01/2018,05:41:00,21:20:00
08/02/2018,05:42:00,21:18:00
08/03/2018,05:44:00,21:16:00
08/04/2018,05:46:00,21:15:00
08/05/2018,05:47:00,21:13:00
08/06/2018,05:49:00,21:11:00
08/07/2018,05:51:00,21:09:00
08/08/2018,05:52:00,21:07:00
08/09/2018,05:54:00,21:05:00
08/10/2018,05:56:00,21:03:00
08/11/2018,05:57:00,21:01:00
08/12/2018,05:59:00,20:59:00
08/13/2018,06:01:00,20:57:00
08/14/2018,06:03:00,20:55:00
08/15/2018,06:04:00,20:53:00
08/16/2018,06:06:00,20:50:00
08/17/2018,06:08:00,20:48:00
08/18/2018,06:10:00,20:46:00
08/19/2018,06:11:00,20:44:00
08/20/2018,06:13:00,20:42:00
08/21/2018,06:15:00,20:40:00
08/22/2018,06:16:00,20:37:00
08/23/2018,06:18:00,20:35:00
08/24/2018,06:20:00,20:33:00
08/25/2018,06:22:00,20:30:00
08/26/2018,06:23:00,20:28:00
08/27/2018,06:25:00,20:26:00
08/28/2018,06:27:00,20:24:00
08/29/2018,06:29:00,20:21:00
08/30/2018,06:30:00,20:19:00
08/31/2018,06:32:00,20:17:00
09/01/2018,06:34:00,20:14:00
09/02/2018,06:35:00,20:12:00
09/03/2018,06:37:00,20:09:00
09/04/2018,06:39:00,20:07:00
09/05/2018,06:41:00,20:05:00
09/06/2018,06:42:00,20:02:00
09/07/2018,06:44:00,20:00:00
09/08/2018,06:46:00,19:57:00
09/09/2018,06:48:00,19:55:00
09/10/2018,06:49:00,19:53:00
09/11/2018,06:51:00,19:50:00
09/12/2018,06:53:00,19:48:00
09/13/2018,06:55:00,19:45:00
09/14/2018,06:56:00,19:43:00
09/15/2018,06:58:00,19:40:00
09/16/2018,07:00:00,19:38:00
09/17/2018,07:01:00,19:36:00
09/18/2018,07:03:00,19:33:00
09/19/2018,07:05:00,19:31:00
09/20/2018,07:07:00,19:28:00
09/21/2018,07:08:00,19:26:00
09/22/2018,07:10:00,19:23:00
09/23/2018,07:12:00,19:21:00
09/24/2018,07:14:00,19:19:00
09/25/2018,07:15:00,19:16:00
09/26/2018,07:17:00,19:14:00
09/27/2018,07:19:00,19:11:00
09/28/2018,07:21:00,19:09:00
09/29/2018,07:22:00,19:06:00
09/30/2018,07:24:00,19:04:00